timestep_time;vehicle_CO;vehicle_CO2;vehicle_HC;vehicle_NOx;vehicle_PMx;vehicle_angle;vehicle_eclass;vehicle_electricity;vehicle_fuel;vehicle_id;vehicle_lane;vehicle_noise;vehicle_pos;vehicle_route;vehicle_speed;vehicle_type;vehicle_waiting;vehicle_x;vehicle_y
47.00;129.62;4223.59;0.69;1.84;0.09;160.33;HBEFA3/PC_G_EU4;0.00;1347.16;35;24254277#0_0;65.58;11.87;!35;4.29;DEFAULT_VEHTYPE;0.00;342.55;657.63
47.00;147.41;3254.38;0.75;1.45;0.07;150.46;HBEFA3/PC_G_EU4;0.00;1038.04;40;24254277#2_0;64.51;6.89;!40;1.79;DEFAULT_VEHTYPE;0.00;415.53;524.53
47.00;147.38;3217.03;0.75;1.44;0.07;174.78;HBEFA3/PC_G_EU4;0.00;1026.13;46;24254277#7_0;64.29;6.85;!46;1.75;DEFAULT_VEHTYPE;0.00;481.21;360.10
47.00;0.00;1757.53;0.02;0.48;0.00;188.38;HBEFA3/PC_G_EU4;0.00;560.59;8;24254277#9_0;62.64;18.82;!8;11.69;DEFAULT_VEHTYPE;0.00;480.60;314.42
48.00;0.00;2971.23;0.06;0.97;0.03;193.05;HBEFA3/PC_G_EU4;0.00;947.69;16;766761483#3_0;65.82;0.87;!16;15.32;DEFAULT_VEHTYPE;0.00;465.62;238.51
48.00;25.51;3217.38;0.19;1.17;0.04;202.66;HBEFA3/PC_G_EU4;0.00;1026.21;18;766761483#4_0;64.09;115.36;!18;11.94;DEFAULT_VEHTYPE;0.00;429.79;104.31
48.00;163.78;9979.23;0.99;4.35;0.21;155.51;HBEFA3/PC_G_EU4;0.00;3182.88;23;24254277#2_0;72.08;77.56;!23;12.06;DEFAULT_VEHTYPE;0.00;449.44;462.62
48.00;0.00;0.00;0.00;0.00;0.00;149.69;HBEFA3/PC_G_EU4;0.00;0.00;26;24254277#2_0;62.38;47.56;!26;12.64;DEFAULT_VEHTYPE;0.00;436.24;489.54
48.00;64.71;5144.70;0.42;2.08;0.09;170.62;HBEFA3/PC_G_EU4;0.00;1640.92;27;24254277#6_0;66.10;8.35;!27;12.00;DEFAULT_VEHTYPE;0.00;478.89;390.83
48.00;0.00;0.00;0.00;0.00;0.00;151.78;HBEFA3/PC_G_EU4;0.00;0.00;28;24254277#0_0;60.35;141.58;!28;10.63;DEFAULT_VEHTYPE;0.00;405.07;544.03
48.00;8.16;2173.69;0.08;0.69;0.01;151.78;HBEFA3/PC_G_EU4;0.00;693.32;29;24254277#0_0;62.81;115.75;!29;11.42;DEFAULT_VEHTYPE;0.00;392.85;566.80
48.00;0.00;0.00;0.00;0.00;0.00;203.31;HBEFA3/PC_G_EU4;0.00;0.00;30;766761483#4_0;61.12;138.86;!30;11.60;DEFAULT_VEHTYPE;0.00;420.55;82.70
48.00;0.00;0.00;0.00;0.00;0.00;155.62;HBEFA3/PC_G_EU4;0.00;0.00;31;24254277#5_0;61.41;1.03;!31;11.33;DEFAULT_VEHTYPE;0.00;472.51;409.70
48.00;10.50;3474.37;0.13;1.21;0.04;193.30;HBEFA3/PC_G_EU4;0.00;1108.17;32;766761483#4_0;66.02;1.61;!32;15.13;DEFAULT_VEHTYPE;0.00;459.81;213.78
48.00;0.00;1420.70;0.00;0.31;0.00;150.60;HBEFA3/PC_G_EU4;0.00;453.16;33;24254277#0_0;62.96;83.43;!33;12.45;DEFAULT_VEHTYPE;0.00;377.20;595.07
48.00;109.09;7430.27;0.67;3.14;0.15;150.60;HBEFA3/PC_G_EU4;0.00;2369.89;34;24254277#0_0;68.78;49.49;!34;12.36;DEFAULT_VEHTYPE;0.00;360.54;624.64
48.00;110.34;4200.55;0.60;1.79;0.08;155.35;HBEFA3/PC_G_EU4;0.00;1339.80;35;24254277#0_0;64.46;17.55;!35;5.68;DEFAULT_VEHTYPE;0.00;344.86;652.47
48.00;164.78;2624.72;0.81;1.20;0.07;171.51;HBEFA3/PC_G_EU4;0.00;837.22;39;24254277#0_0;55.94;5.10;!39;0.00;DEFAULT_VEHTYPE;0.00;340.33;664.03
48.00;133.92;3950.42;0.70;1.73;0.08;149.51;HBEFA3/PC_G_EU4;0.00;1260.03;40;24254277#2_0;65.30;10.49;!40;3.60;DEFAULT_VEHTYPE;0.00;417.37;521.45
48.00;18.51;2864.12;0.15;1.00;0.03;194.08;HBEFA3/PC_G_EU4;0.00;913.53;8;24254277#10_0;63.74;2.69;!8;11.90;DEFAULT_VEHTYPE;0.00;478.32;302.75
49.00;2.74;3183.19;0.09;1.06;0.03;193.21;HBEFA3/PC_G_EU4;0.00;1015.30;16;766761483#3_0;66.04;16.35;!16;15.49;DEFAULT_VEHTYPE;0.00;462.09;223.44
49.00;0.00;0.00;0.00;0.00;0.00;203.31;HBEFA3/PC_G_EU4;0.00;0.00;18;766761483#4_0;62.09;126.95;!18;11.60;DEFAULT_VEHTYPE;0.00;425.27;93.63
49.00;77.87;6200.52;0.50;2.54;0.11;157.59;HBEFA3/PC_G_EU4;0.00;1977.67;23;24254277#3_0;67.48;9.84;!23;13.20;DEFAULT_VEHTYPE;0.00;454.76;450.54
49.00;27.08;3685.90;0.21;1.36;0.05;155.09;HBEFA3/PC_G_EU4;0.00;1175.64;26;24254277#2_0;65.08;60.61;!26;13.05;DEFAULT_VEHTYPE;0.00;442.33;478.01
49.00;22.08;3184.46;0.17;1.14;0.04;176.06;HBEFA3/PC_G_EU4;0.00;1015.70;27;24254277#6_0;64.26;20.65;!27;12.30;DEFAULT_VEHTYPE;0.00;479.74;378.55
49.00;0.00;0.00;0.00;0.00;0.00;151.78;HBEFA3/PC_G_EU4;0.00;0.00;28;24254277#0_0;60.38;151.67;!28;10.08;DEFAULT_VEHTYPE;0.00;409.83;535.14
49.00;40.28;3949.31;0.27;1.51;0.06;151.78;HBEFA3/PC_G_EU4;0.00;1259.65;29;24254277#0_0;64.83;127.72;!29;11.98;DEFAULT_VEHTYPE;0.00;398.51;556.24
49.00;50.61;4581.20;0.34;1.80;0.07;203.31;HBEFA3/PC_G_EU4;0.00;1461.19;30;766761483#4_0;65.61;151.20;!30;12.33;DEFAULT_VEHTYPE;0.00;415.67;71.37
49.00;5.54;1991.18;0.07;0.61;0.01;158.17;HBEFA3/PC_G_EU4;0.00;635.11;31;:572667_0_0;62.55;4.84;!31;11.28;DEFAULT_VEHTYPE;0.00;476.94;399.34
49.00;0.70;3032.04;0.07;1.00;0.03;193.38;HBEFA3/PC_G_EU4;0.00;967.09;32;766761483#4_0;65.83;16.87;!32;15.27;DEFAULT_VEHTYPE;0.00;456.28;198.93
49.00;24.15;3464.06;0.19;1.26;0.04;150.60;HBEFA3/PC_G_EU4;0.00;1104.88;33;24254277#0_0;64.78;96.25;!33;12.82;DEFAULT_VEHTYPE;0.00;383.49;583.90
49.00;110.06;7983.71;0.69;3.37;0.16;150.60;HBEFA3/PC_G_EU4;0.00;2546.41;34;24254277#0_0;69.38;63.41;!34;13.91;DEFAULT_VEHTYPE;0.00;367.37;612.52
49.00;132.20;6530.22;0.76;2.84;0.13;150.60;HBEFA3/PC_G_EU4;0.00;2082.84;35;24254277#0_0;68.79;25.40;!35;7.85;DEFAULT_VEHTYPE;0.00;348.71;645.63
49.00;148.43;3570.35;0.76;1.59;0.08;167.46;HBEFA3/PC_G_EU4;0.00;1138.82;39;24254277#0_0;66.15;7.23;!39;2.13;DEFAULT_VEHTYPE;0.00;340.99;662.00
49.00;113.74;3881.51;0.61;1.66;0.07;148.86;HBEFA3/PC_G_EU4;0.00;1238.05;40;24254277#2_0;63.83;15.41;!40;4.92;DEFAULT_VEHTYPE;0.00;419.92;517.23
49.00;164.78;2624.72;0.81;1.20;0.07;193.21;HBEFA3/PC_G_EU4;0.00;837.22;49;766761483#3_0;55.94;5.10;!49;0.00;DEFAULT_VEHTYPE;0.00;464.66;234.39
49.00;0.00;0.00;0.00;0.00;0.00;194.33;HBEFA3/PC_G_EU4;0.00;0.00;8;24254277#10_0;62.04;14.25;!8;11.55;DEFAULT_VEHTYPE;0.00;475.46;291.56
50.00;0.00;2454.36;0.00;0.72;0.01;193.38;HBEFA3/PC_G_EU4;0.00;782.84;16;766761483#4_0;65.64;7.16;!16;15.48;DEFAULT_VEHTYPE;0.00;458.52;208.37
50.00;81.17;6224.15;0.52;2.56;0.11;203.31;HBEFA3/PC_G_EU4;0.00;1985.21;18;766761483#4_0;67.44;139.74;!18;12.79;DEFAULT_VEHTYPE;0.00;420.21;81.89
50.00;37.22;4405.86;0.27;1.68;0.07;157.59;HBEFA3/PC_G_EU4;0.00;1405.26;23;24254277#3_0;66.02;23.62;!23;13.78;DEFAULT_VEHTYPE;0.00;460.01;437.81
50.00;15.78;3223.73;0.15;1.14;0.04;155.09;HBEFA3/PC_G_EU4;0.00;1028.23;26;24254277#2_0;64.85;73.94;!26;13.32;DEFAULT_VEHTYPE;0.00;447.95;465.92
50.00;0.00;0.00;0.00;0.00;0.00;175.48;HBEFA3/PC_G_EU4;0.00;0.00;27;24254277#7_0;61.76;0.08;!27;11.75;DEFAULT_VEHTYPE;0.00;480.60;366.84
50.00;0.00;0.00;0.00;0.00;0.00;151.24;HBEFA3/PC_G_EU4;0.00;0.00;28;24254277#2_0;58.14;3.71;!28;8.97;DEFAULT_VEHTYPE;0.00;413.96;527.30
50.00;0.11;1971.31;0.04;0.58;0.00;151.78;HBEFA3/PC_G_EU4;0.00;628.78;29;24254277#0_0;62.97;139.63;!29;11.91;DEFAULT_VEHTYPE;0.00;404.14;545.75
50.00;1.80;2209.20;0.06;0.68;0.01;204.07;HBEFA3/PC_G_EU4;0.00;704.65;30;766761483#4_0;63.46;163.53;!30;12.33;DEFAULT_VEHTYPE;0.00;410.66;60.10
50.00;35.92;3654.65;0.25;1.38;0.05;176.06;HBEFA3/PC_G_EU4;0.00;1165.67;31;24254277#6_0;64.43;11.32;!31;11.76;DEFAULT_VEHTYPE;0.00;479.10;387.87
50.00;0.00;2320.92;0.00;0.66;0.01;192.83;HBEFA3/PC_G_EU4;0.00;740.28;32;766761483#4_0;65.41;32.10;!32;15.23;DEFAULT_VEHTYPE;0.00;452.80;184.10
50.00;0.00;0.00;0.00;0.00;0.00;151.62;HBEFA3/PC_G_EU4;0.00;0.00;33;24254277#0_0;61.62;108.31;!33;12.06;DEFAULT_VEHTYPE;0.00;389.33;573.36
50.00;120.10;8885.30;0.76;3.75;0.18;150.60;HBEFA3/PC_G_EU4;0.00;2833.97;34;24254277#0_0;70.32;78.90;!34;15.50;DEFAULT_VEHTYPE;0.00;374.97;599.02
50.00;101.86;5834.34;0.60;2.47;0.11;150.60;HBEFA3/PC_G_EU4;0.00;1860.88;35;24254277#0_0;66.87;34.77;!35;9.38;DEFAULT_VEHTYPE;0.00;353.31;637.46
50.00;138.82;4709.01;0.74;2.07;0.10;160.33;HBEFA3/PC_G_EU4;0.00;1501.98;39;24254277#0_0;67.39;11.58;!39;4.34;DEFAULT_VEHTYPE;0.00;342.45;657.91
50.00;132.96;6160.18;0.75;2.68;0.13;148.96;HBEFA3/PC_G_EU4;0.00;1964.82;40;24254277#2_0;68.54;22.53;!40;7.11;DEFAULT_VEHTYPE;0.00;423.59;511.14
50.00;147.38;3224.01;0.75;1.44;0.07;193.21;HBEFA3/PC_G_EU4;0.00;1028.35;49;766761483#3_0;64.33;6.85;!49;1.75;DEFAULT_VEHTYPE;0.00;464.25;232.68
50.00;0.00;1736.74;0.03;0.48;0.00;186.56;HBEFA3/PC_G_EU4;0.00;553.96;8;24254277#11_0;62.42;5.92;!8;11.41;DEFAULT_VEHTYPE;0.00;473.74;280.29
51.00;0.00;1976.46;0.00;0.50;0.00;193.38;HBEFA3/PC_G_EU4;0.00;630.41;16;766761483#4_0;65.31;22.51;!16;15.35;DEFAULT_VEHTYPE;0.00;454.97;193.44
51.00;0.00;0.00;0.00;0.00;0.00;203.31;HBEFA3/PC_G_EU4;0.00;0.00;18;766761483#4_0;62.45;152.08;!18;12.34;DEFAULT_VEHTYPE;0.00;415.32;70.55
51.00;0.00;0.00;0.00;0.00;0.00;155.69;HBEFA3/PC_G_EU4;0.00;0.00;26;24254277#3_0;62.95;5.92;!26;12.91;DEFAULT_VEHTYPE;0.00;453.26;454.16
51.00;26.08;3305.08;0.19;1.20;0.04;176.24;HBEFA3/PC_G_EU4;0.00;1054.18;27;:572670_0_0;64.26;4.16;!27;12.10;DEFAULT_VEHTYPE;0.00;481.57;354.77
51.00;0.00;0.00;0.00;0.00;0.00;149.02;HBEFA3/PC_G_EU4;0.00;0.00;28;24254277#2_0;58.52;12.00;!28;8.29;DEFAULT_VEHTYPE;0.00;418.16;520.15
51.00;0.00;0.00;0.00;0.00;0.00;151.78;HBEFA3/PC_G_EU4;0.00;0.00;29;24254277#0_0;56.60;148.89;!29;9.26;DEFAULT_VEHTYPE;0.00;408.52;537.60
51.00;5.94;2433.67;0.08;0.79;0.02;204.07;HBEFA3/PC_G_EU4;0.00;776.24;30;766761483#4_0;63.68;175.92;!30;12.40;DEFAULT_VEHTYPE;0.00;405.61;48.78
51.00;1.01;1926.92;0.05;0.57;0.00;176.06;HBEFA3/PC_G_EU4;0.00;614.62;31;24254277#6_0;62.77;22.99;!31;11.67;DEFAULT_VEHTYPE;0.00;479.90;376.22
51.00;22.83;4193.50;0.20;1.54;0.06;192.75;HBEFA3/PC_G_EU4;0.00;1337.53;32;766761483#4_0;66.73;47.74;!32;15.64;DEFAULT_VEHTYPE;0.00;449.35;168.84
51.00;0.00;1680.64;0.01;0.44;0.00;151.78;HBEFA3/PC_G_EU4;0.00;536.06;33;24254277#0_0;62.73;120.20;!33;11.89;DEFAULT_VEHTYPE;0.00;394.95;562.88
51.00;0.00;0.00;0.00;0.00;0.00;150.60;HBEFA3/PC_G_EU4;0.00;0.00;34;24254277#0_0;62.05;92.71;!34;13.81;DEFAULT_VEHTYPE;0.00;381.75;586.99
51.00;126.92;7905.00;0.77;3.39;0.16;150.60;HBEFA3/PC_G_EU4;0.00;2521.31;35;24254277#0_0;69.55;46.10;!35;11.32;DEFAULT_VEHTYPE;0.00;358.87;627.60
51.00;114.83;4571.38;0.63;1.96;0.09;155.45;HBEFA3/PC_G_EU4;0.00;1458.08;39;24254277#0_0;65.38;17.50;!39;5.92;DEFAULT_VEHTYPE;0.00;344.83;652.51
51.00;152.42;8408.81;0.90;3.68;0.18;149.58;HBEFA3/PC_G_EU4;0.00;2682.00;40;24254277#2_0;71.08;32.15;!40;9.63;DEFAULT_VEHTYPE;0.00;428.46;502.84
51.00;164.78;2624.72;0.81;1.20;0.07;171.51;HBEFA3/PC_G_EU4;0.00;837.22;44;24254277#0_0;55.94;5.10;!44;0.00;DEFAULT_VEHTYPE;0.00;340.33;664.03
51.00;133.97;3916.53;0.70;1.72;0.08;193.21;HBEFA3/PC_G_EU4;0.00;1249.22;49;766761483#3_0;65.22;10.40;!49;3.54;DEFAULT_VEHTYPE;0.00;463.45;229.23
51.00;32.66;3528.70;0.23;1.32;0.05;188.92;HBEFA3/PC_G_EU4;0.00;1125.50;8;766761483#1_0;64.34;3.41;!8;11.84;DEFAULT_VEHTYPE;0.00;472.33;268.66
52.00;0.00;0.00;0.00;0.00;0.00;192.75;HBEFA3/PC_G_EU4;0.00;0.00;16;766761483#4_0;63.10;36.83;!16;14.32;DEFAULT_VEHTYPE;0.00;451.76;179.49
52.00;0.00;1896.92;0.02;0.54;0.00;204.07;HBEFA3/PC_G_EU4;0.00;605.05;18;766761483#4_0;63.15;164.33;!18;12.24;DEFAULT_VEHTYPE;0.00;410.34;59.37
52.00;32.22;4049.25;0.24;1.52;0.06;157.59;HBEFA3/PC_G_EU4;0.00;1291.52;26;24254277#3_0;65.56;19.33;!26;13.41;DEFAULT_VEHTYPE;0.00;458.37;441.77
52.00;0.00;0.00;0.00;0.00;0.00;178.45;HBEFA3/PC_G_EU4;0.00;0.00;27;24254277#8_0;61.61;10.60;!27;11.55;DEFAULT_VEHTYPE;0.00;481.92;343.23
52.00;101.35;6017.81;0.60;2.54;0.11;148.86;HBEFA3/PC_G_EU4;0.00;1919.40;28;24254277#2_0;67.10;21.82;!28;9.82;DEFAULT_VEHTYPE;0.00;423.23;511.75
52.00;22.85;1900.27;0.14;0.62;0.01;152.92;HBEFA3/PC_G_EU4;0.00;606.12;29;24254277#2_0;60.93;1.13;!29;9.18;DEFAULT_VEHTYPE;0.00;412.69;529.54
52.00;16.34;2739.61;0.14;0.94;0.03;175.13;HBEFA3/PC_G_EU4;0.00;873.82;31;24254277#7_0;63.60;2.53;!31;11.85;DEFAULT_VEHTYPE;0.00;480.82;364.40
52.00;0.00;0.00;0.00;0.00;0.00;194.03;HBEFA3/PC_G_EU4;0.00;0.00;32;766761483#4_0;64.73;62.98;!32;15.24;DEFAULT_VEHTYPE;0.00;445.87;154.00
52.00;49.07;4604.11;0.33;1.80;0.07;151.78;HBEFA3/PC_G_EU4;0.00;1468.50;33;24254277#0_0;65.73;132.81;!33;12.61;DEFAULT_VEHTYPE;0.00;400.92;551.76
52.00;0.00;2572.13;0.05;0.81;0.02;151.21;HBEFA3/PC_G_EU4;0.00;820.40;34;24254277#0_0;64.71;106.58;!34;13.87;DEFAULT_VEHTYPE;0.00;388.51;574.88
52.00;109.24;7631.32;0.68;3.23;0.15;150.60;HBEFA3/PC_G_EU4;0.00;2434.02;35;24254277#0_0;69.00;59.01;!35;12.92;DEFAULT_VEHTYPE;0.00;365.21;616.34
52.00;164.78;2624.72;0.81;1.20;0.07;155.17;HBEFA3/PC_G_EU4;0.00;837.22;37;24254277#3_0;55.94;5.10;!37;0.00;DEFAULT_VEHTYPE;0.00;452.95;454.92
52.00;141.62;7226.51;0.82;3.15;0.15;150.60;HBEFA3/PC_G_EU4;0.00;2304.92;39;24254277#0_0;69.88;25.80;!39;8.30;DEFAULT_VEHTYPE;0.00;348.91;645.28
52.00;118.74;7551.91;0.72;3.23;0.15;149.69;HBEFA3/PC_G_EU4;0.00;2408.69;40;24254277#2_0;69.04;43.59;!40;11.43;DEFAULT_VEHTYPE;0.00;434.24;492.97
52.00;147.82;3424.99;0.75;1.53;0.08;167.79;HBEFA3/PC_G_EU4;0.00;1092.46;44;24254277#0_0;65.43;7.08;!44;1.98;DEFAULT_VEHTYPE;0.00;340.94;662.14
52.00;133.10;5309.90;0.73;2.32;0.11;193.21;HBEFA3/PC_G_EU4;0.00;1693.63;49;766761483#3_0;67.67;16.08;!49;5.68;DEFAULT_VEHTYPE;0.00;462.15;223.70
52.00;0.00;0.00;0.00;0.00;0.00;192.73;HBEFA3/PC_G_EU4;0.00;0.00;8;766761483#2_0;61.04;5.06;!8;11.17;DEFAULT_VEHTYPE;0.00;470.00;257.73
53.00;78.69;6852.54;0.52;2.80;0.13;192.75;HBEFA3/PC_G_EU4;0.00;2185.62;16;766761483#4_0;68.56;52.23;!16;15.40;DEFAULT_VEHTYPE;0.00;448.36;164.47
53.00;0.00;1591.40;0.00;0.40;0.00;204.07;HBEFA3/PC_G_EU4;0.00;507.60;18;766761483#4_0;62.78;176.38;!18;12.05;DEFAULT_VEHTYPE;0.00;405.42;48.37
53.00;0.00;0.00;0.00;0.00;0.00;156.86;HBEFA3/PC_G_EU4;0.00;0.00;26;:572666_0_0;62.04;3.55;!26;12.62;DEFAULT_VEHTYPE;0.00;463.24;430.13
53.00;41.36;4061.66;0.28;1.56;0.06;180.92;HBEFA3/PC_G_EU4;0.00;1295.49;27;24254277#9_0;65.01;2.07;!27;12.14;DEFAULT_VEHTYPE;0.00;481.96;331.09
53.00;100.32;6615.25;0.61;2.79;0.13;149.58;HBEFA3/PC_G_EU4;0.00;2109.95;28;24254277#2_0;67.81;33.15;!28;11.33;DEFAULT_VEHTYPE;0.00;428.97;501.98
53.00;93.67;5979.42;0.57;2.51;0.11;149.11;HBEFA3/PC_G_EU4;0.00;1907.15;29;24254277#2_0;66.98;11.71;!29;10.57;DEFAULT_VEHTYPE;0.00;418.00;520.40
53.00;19.47;2983.81;0.16;1.05;0.03;177.10;HBEFA3/PC_G_EU4;0.00;951.71;31;24254277#8_0;63.97;1.49;!31;12.10;DEFAULT_VEHTYPE;0.00;481.67;352.34
53.00;7.11;3389.83;0.11;1.16;0.04;194.14;HBEFA3/PC_G_EU4;0.00;1081.20;32;766761483#4_0;66.15;78.45;!32;15.46;DEFAULT_VEHTYPE;0.00;442.10;139.01
53.00;0.00;0.00;0.00;0.00;0.00;151.78;HBEFA3/PC_G_EU4;0.00;0.00;33;24254277#0_0;60.56;144.31;!33;11.50;DEFAULT_VEHTYPE;0.00;406.35;541.63
53.00;0.00;0.00;0.00;0.00;0.00;151.78;HBEFA3/PC_G_EU4;0.00;0.00;34;24254277#0_0;63.29;120.01;!34;13.43;DEFAULT_VEHTYPE;0.00;394.86;563.05
53.00;140.30;9697.58;0.87;4.15;0.20;150.60;HBEFA3/PC_G_EU4;0.00;3093.04;35;24254277#0_0;71.09;73.82;!35;14.80;DEFAULT_VEHTYPE;0.00;372.48;603.45
53.00;147.37;3186.91;0.75;1.42;0.07;156.26;HBEFA3/PC_G_EU4;0.00;1016.52;37;24254277#3_0;64.11;6.81;!37;1.71;DEFAULT_VEHTYPE;0.00;453.60;453.35
53.00;91.47;5450.43;0.54;2.28;0.10;150.60;HBEFA3/PC_G_EU4;0.00;1738.44;39;24254277#0_0;66.23;35.43;!39;9.63;DEFAULT_VEHTYPE;0.00;353.63;636.89
53.00;121.08;8293.62;0.75;3.53;0.17;152.01;HBEFA3/PC_G_EU4;0.00;2645.26;40;24254277#2_0;69.73;56.77;!40;13.18;DEFAULT_VEHTYPE;0.00;440.71;481.49
53.00;142.57;4900.44;0.77;2.16;0.10;160.33;HBEFA3/PC_G_EU4;0.00;1563.04;44;24254277#0_0;68.10;11.44;!44;4.36;DEFAULT_VEHTYPE;0.00;342.41;658.04
53.00;139.68;6988.61;0.80;3.05;0.15;193.25;HBEFA3/PC_G_EU4;0.00;2229.04;49;:572675_0_0;69.61;4.45;!49;8.03;DEFAULT_VEHTYPE;0.00;460.31;215.89
53.00;2.76;1758.15;0.05;0.50;0.00;192.73;HBEFA3/PC_G_EU4;0.00;560.79;8;766761483#2_0;62.16;16.09;!8;11.03;DEFAULT_VEHTYPE;0.00;467.57;246.97
54.00;0.00;0.00;0.00;0.00;0.00;194.14;HBEFA3/PC_G_EU4;0.00;0.00;16;766761483#4_0;63.66;66.84;!16;14.61;DEFAULT_VEHTYPE;0.00;444.93;150.26
54.00;1.08;2279.15;0.05;0.71;0.01;155.32;HBEFA3/PC_G_EU4;0.00;726.96;26;24254277#4_0;63.71;9.21;!26;12.63;DEFAULT_VEHTYPE;0.00;468.45;418.63
54.00;0.00;0.00;0.00;0.00;0.00;184.50;HBEFA3/PC_G_EU4;0.00;0.00;27;24254277#9_0;61.72;13.69;!27;11.62;DEFAULT_VEHTYPE;0.00;481.35;319.50
54.00;7.32;2088.46;0.08;0.65;0.01;149.69;HBEFA3/PC_G_EU4;0.00;666.14;28;24254277#2_0;62.66;44.45;!28;11.30;DEFAULT_VEHTYPE;0.00;434.68;492.22
54.00;91.01;6393.43;0.57;2.67;0.12;149.12;HBEFA3/PC_G_EU4;0.00;2039.20;29;24254277#2_0;67.54;23.63;!29;11.92;DEFAULT_VEHTYPE;0.00;424.15;510.19
54.00;0.00;0.00;0.00;0.00;0.00;178.45;HBEFA3/PC_G_EU4;0.00;0.00;31;24254277#8_0;61.65;13.05;!31;11.57;DEFAULT_VEHTYPE;0.00;481.98;340.78
54.00;0.00;0.00;0.00;0.00;0.00;195.86;HBEFA3/PC_G_EU4;0.00;0.00;32;766761483#4_0;63.51;93.03;!32;14.58;DEFAULT_VEHTYPE;0.00;438.39;124.92
54.00;33.34;3601.86;0.23;1.35;0.05;153.38;HBEFA3/PC_G_EU4;0.00;1148.83;33;24254277#1_0;64.47;4.03;!33;11.95;DEFAULT_VEHTYPE;0.00;411.88;531.04
54.00;0.00;1360.28;0.00;0.26;0.00;151.78;HBEFA3/PC_G_EU4;0.00;433.89;34;24254277#0_0;63.45;133.16;!34;13.16;DEFAULT_VEHTYPE;0.00;401.08;551.45
54.00;76.89;6865.45;0.51;2.79;0.13;150.60;HBEFA3/PC_G_EU4;0.00;2189.74;35;24254277#0_0;68.69;89.67;!35;15.85;DEFAULT_VEHTYPE;0.00;380.26;589.64
54.00;130.21;3390.91;0.67;1.48;0.07;157.59;HBEFA3/PC_G_EU4;0.00;1081.58;37;24254277#3_0;63.15;9.88;!37;3.07;DEFAULT_VEHTYPE;0.00;454.77;450.51
54.00;102.80;6677.21;0.63;2.82;0.13;150.60;HBEFA3/PC_G_EU4;0.00;2129.71;39;24254277#0_0;67.91;46.61;!39;11.18;DEFAULT_VEHTYPE;0.00;359.12;627.15
54.00;0.00;0.00;0.00;0.00;0.00;155.09;HBEFA3/PC_G_EU4;0.00;0.00;40;24254277#2_0;60.81;68.72;!40;11.95;DEFAULT_VEHTYPE;0.00;445.75;470.66
54.00;132.80;5812.44;0.74;2.53;0.12;154.53;HBEFA3/PC_G_EU4;0.00;1853.91;44;24254277#0_0;68.20;17.97;!44;6.53;DEFAULT_VEHTYPE;0.00;345.06;652.10
54.00;164.78;2624.72;0.81;1.20;0.07;171.51;HBEFA3/PC_G_EU4;0.00;837.22;45;24254277#0_0;55.94;5.10;!45;0.00;DEFAULT_VEHTYPE;0.00;340.33;664.03
54.00;121.26;7034.38;0.72;3.02;0.14;193.38;HBEFA3/PC_G_EU4;0.00;2243.63;49;766761483#4_0;68.67;9.37;!49;9.93;DEFAULT_VEHTYPE;0.00;458.01;206.23
54.00;35.26;3517.12;0.24;1.32;0.05;193.16;HBEFA3/PC_G_EU4;0.00;1121.81;8;766761483#3_0;64.16;3.67;!8;11.48;DEFAULT_VEHTYPE;0.00;464.98;235.78
55.00;0.00;1817.01;0.00;0.44;0.00;194.14;HBEFA3/PC_G_EU4;0.00;579.56;16;766761483#4_0;64.64;81.31;!16;14.46;DEFAULT_VEHTYPE;0.00;441.40;136.24
55.00;33.17;4007.81;0.24;1.51;0.06;155.75;HBEFA3/PC_G_EU4;0.00;1278.31;26;24254277#5_0;65.40;4.36;!26;13.13;DEFAULT_VEHTYPE;0.00;473.88;406.67
55.00;34.76;3727.36;0.24;1.40;0.05;189.07;HBEFA3/PC_G_EU4;0.00;1188.86;27;:572671_0_0;64.66;2.93;!27;12.10;DEFAULT_VEHTYPE;0.00;479.52;307.54
55.00;0.00;0.00;0.00;0.00;0.00;150.39;HBEFA3/PC_G_EU4;0.00;0.00;28;24254277#2_0;61.15;55.28;!28;10.82;DEFAULT_VEHTYPE;0.00;440.08;482.85
55.00;0.00;0.00;0.00;0.00;0.00;149.58;HBEFA3/PC_G_EU4;0.00;0.00;29;24254277#2_0;59.74;34.37;!29;10.74;DEFAULT_VEHTYPE;0.00;429.59;500.93
55.00;0.00;0.00;0.00;0.00;0.00;181.46;HBEFA3/PC_G_EU4;0.00;0.00;31;24254277#9_0;61.99;3.67;!31;11.29;DEFAULT_VEHTYPE;0.00;481.91;329.49
55.00;10.02;3376.14;0.12;1.17;0.04;202.66;HBEFA3/PC_G_EU4;0.00;1076.84;32;766761483#4_0;65.79;107.85;!32;14.83;DEFAULT_VEHTYPE;0.00;432.68;111.24
55.00;35.38;3886.70;0.25;1.47;0.05;149.09;HBEFA3/PC_G_EU4;0.00;1239.68;33;24254277#2_0;64.98;11.79;!33;12.46;DEFAULT_VEHTYPE;0.00;418.04;520.34
55.00;0.00;0.00;0.00;0.00;0.00;151.78;HBEFA3/PC_G_EU4;0.00;0.00;34;24254277#0_0;63.19;146.03;!34;12.87;DEFAULT_VEHTYPE;0.00;407.17;540.11
