471.67,265.37,4
481.76,348.92,1
479.59,380.7,1
475.54,402.96,1
454.94,450.1,3
420.17,81.8,2
460.95,218.62,4
468.33,250.35,4
482.04,334.97,1
480.57,367.23,1
478.89,390.86,1
459.32,439.48,3
414.84,69.46,2
458.58,208.62,4
465.19,236.65,4
481.66,321.97,1
481.63,353.88,1
479.86,376.82,1
463.87,428.69,3
409.6,57.71,2
456.16,198.44,4
462.12,223.57,4
479.79,308.92,1
481.98,340.74,1
480.84,364.18,1
468.54,418.43,1
453.77,188.39,4
459.22,211.28,4
476.45,295.41,4
481.84,327.47,1
481.7,351.06,1
473.49,407.52,1
451.26,177.32,2
456.44,199.63,4
474.4,286.02,4
480.61,314.49,1
482.05,337.56,1
477.67,397.04,1
448.88,166.78,2
453.78,188.44,4
473.79,280.68,4
478.24,302.44,1
481.74,324.58,1
479.31,384.84,1
446.3,155.72,2
451.15,176.8,2
473.47,277.9,4
475.93,293.38,4
480.33,312.6,1
480.15,372.57,1
443.67,145.26,2
448.58,165.48,2
473.47,277.87,4
474.68,288.22,4
478.27,302.56,1
441.09,135.03,2
446.1,154.91,2
473.46,277.87,4
474.46,286.51,4
476.8,296.78,1
438.41,124.97,2
443.37,144.08,2
473.23,275.32,4
474.33,285.36,4
476.26,294.67,4
434.13,114.72,2
440.91,134.32,2
472.75,270.79,4
474.1,283.43,4
475.83,292.97,4
430.0,104.81,2
437.73,123.34,2
471.36,263.86,4
473.65,279.48,4
475.35,291.13,4
425.58,94.35,2
433.54,113.29,2
469.39,255.04,4
474.57,287.45,4
421.54,84.99,2
429.37,103.31,2
467.02,244.55,4
473.85,281.21,4
417.15,74.8,2
425.53,94.24,2
464.15,232.25,4
473.1,273.64,4
412.81,64.91,2
421.06,83.87,2
460.97,218.69,4
471.56,264.85,4
408.35,54.92,2
416.5,73.28,2
457.98,206.07,4
469.32,254.73,4
412.34,63.85,2
454.81,192.75,4
466.67,243.03,4
407.56,53.16,2
451.76,179.49,4
463.55,229.7,4
448.78,166.32,2
460.04,214.76,4
445.55,152.72,2
456.51,199.9,4
442.34,140.0,2
453.02,185.08,4
439.08,127.05,2
449.68,170.34,2
434.29,115.09,2
446.08,154.82,2
429.27,103.07,2
442.19,139.4,2
423.77,90.17,2
438.28,124.65,2
418.44,77.79,2
432.44,110.66,2
413.01,65.36,2
426.2,95.8,2
407.45,52.9,2
419.78,80.9,2
413.47,66.38,2
407.07,52.05,2
